id,date,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,player_of_the_match,most_runs,most_wkts
57,08/05/2024,Lucknow,Hyderabad,Lucknow,Bat,165,4,167,0,Hyderabad,Travis Head,Travis Head,Bhuvneshwar Kumar
58,09/05/2024,Bangalore,Punjab,Punjab,Field,241,7,181,10,Bangalore,Virat Kohli,Virat Kohli,Harshal Patel
59,10/05/2024,Gujarat,Chennai,Chennai,Field,231,3,196,8,Gujarat,Shubman Gill,Shubman Gill,Mohit Sharma
60,11/05/2024,Kolkata,Mumbai,Mumbai,Field,157,7,139,8,Kolkata,Varun Chakravarthy,Venkatesh Iyer,Varun Chakravarthy
61,12/05/2024,Rajasthan,Chennai,Rajasthan,Bat,141,5,145,5,Chennai,Simarjeet Singh,Riyan Parag,Simarjeet Singh
62,12/05/2024,Bangalore,Delhi,Delhi,Field,187,9,140,10,Bangalore,Cameron Green,Axar Patel,Yash Dayal
63,13/05/2024,Gujarat,Kolkata,No Toss,None,0,0,0,0,Abandoned,None,None,None
64,14/05/2024,Delhi,Lucknow,Lucknow,Field,208,4,189,9,Delhi,Ishant Sharma,Nicholas Pooran,Ishant Sharma
65,15/05/2024,Rajasthan,Punjab,Rajasthan,Bat,144,9,145,5,Punjab,Sam Curran,Sam Curran,Rahul Chahar
66,16/05/2024,Hyderabad,Gujarat,No Toss,None,0,0,0,0,Abandoned,None,None,None
67,17/05/2024,Lucknow,Mumbai,Mumbai,Field,214,6,196,6,Lucknow,Nicholas Pooran,Nicholas Pooran,Nuwan Thushara
68,18/05/2024,Bangalore,Chennai,Chennai,Field,218,5,191,7,Bangalore,Faf du Plessis,Rachin Ravindra,Yash Dayal
69,19/05/2024,Punjab,Hyderabad,Punjab,Bat,214,5,215,6,Hyderabad,Abhishek Sharma,Prabhsimran Singh,T Natarajan
70,19/05/2024,Rajasthan,Kolkata,Kolkata,None,0,0,0,0,Abandoned,None,None,None
71,21/05/2024,Hyderabad,Kolkata,Hyderabad,Bat,159,10,164,2,Kolkata,Mitchell Starc,Shreyas Iyer,Mitchell Starc
72,22/05/2024,Bangalore,Rajasthan,Rajasthan,Field,172,8,174,6,Rajasthan,Ravichandran Ashwin,Yashasvi Jaiswal,Avesh Khan
73,24/05/2024,Hyderabad,Rajasthan,Rajasthan,Field,175,9,139,7,Hyderabad,Shahbaz Ahmed,Dhruv Jurel ,Shahbaz Ahmed
74,26/05/2024,Hyderabad,Kolkata,Hyderabad,Bat,113,10,114,2,Kolkata,Mitchell Starc,Venkatesh Iyer,Andre Russell
